address,balance,NumberOfTransaction,lastTransaction,firstTransaction,NFTCount,NativeBalance
0xc0dd8b2178cfb85f752c720113155ae202a45fa3,69304.14,2218,2024,2018,258,14.9
0x9fcd2bb765eeb1b9481d06916cac132615301cf2,41247.77,3128,2023,2021,298,33.02
0x038c45b27627ecb9a986827f7f5e96b6f8976740,39900.65,1076,2024,2019,480,12.37
0x5951c47160dfcb199c28b5c19e82603dc77e9149,34441.54,4983,2022,2022,474,46.02
0x95f05d739861c61f05a5aa8c5344841a093cd8eb,63541.77,3872,2019,2022,117,2.15
0x6aaba80f1c8feb8c1219f9b9ef79fe0225fe354c,8545.03,962,2022,2019,109,36.91
0x8da547a1823c16d424426a7da36ae37c4dda6f39,6483.86,3200,2021,2023,448,24.51
0x436b9ee25e9b7edb0ac82c8e0d3a194d64bd74b1,95014.51,4651,2020,2017,79,20.71
0x5f66aa94bdd5f46503eb048935915d57750ab917,28993.82,1519,2024,2024,395,30.41
0xd3eff7582c82fe45e042b468d24ceec26e657ad2,72522.55,4897,2023,2019,45,44.76
0x3471f5795d668f594111498b9a8b699917946d87,51543.85,1645,2023,2023,23,24.12
0x88f1203b145e84fb2e70187bee63911c0a26d55a,3186.69,1318,2020,2020,429,30.48
0x486f11891c12955392b8ef29200f42f1e1f3f468,98023.14,2227,2021,2023,127,11.95
0x766791729effdbdb4983d769e10ba4cdb9ec15c7,27873.34,1795,2023,2022,380,25.65
0xc8b09ecf969360be36c8503ace4da168d3a6960d,73155.86,4708,2022,2020,253,2.55
0xc8e9c7cd70dde40f1534db0194a26c2563150ca1,59520.5,2203,2021,2018,196,44.41
0xe4ba5e4610961a6d2edb3c939864fd538a4ad9ae,11663.4,3703,2021,2022,180,23.39
0x678a390b89e6c6365d9c90c82800836884335478,48113.69,3403,2020,2022,270,38.21
0x5af1b0de03e45868a10efd199876eaaa03f4ae6f,90316.26,1003,2021,2019,425,4.43
0xdd414066e8978004e4f6aa4b73a177156273d02a,72030.66,4180,2019,2020,46,26.07
0x3d5c0268028cec7eb9ecb51c50d385c3235c1a06,76319.96,3545,2021,2019,435,47.42
0xd1a5ce3a6dfdd934f513409589d85d9097df9850,66387.7,2593,2019,2021,80,43.25
0xfeec465ff6d3e60e3f803824b6a1101d8eafe85a,80239.23,3897,2020,2017,358,49.73
0xe72eb3c20a0396d2c78719739ecb78518e738ac5,98186.0,3588,2024,2023,73,10.73
0x21a7c3d6064d3adade0867a4b5fd6e19f7755ed1,63100.32,1012,2022,2023,442,12.13
0x1d2ebf866267c9542060f58e16169c968386d46d,86186.04,1759,2023,2020,398,45.08
0x15ba9663c401003c44753cea79f63f84ed53e68c,51698.97,959,2024,2023,264,8.43
0xe2995f29933ef4b9bef99820305e7c64e5d98003,70064.84,3399,2019,2022,484,48.65
0x92a293e420ca7e139001c56548a86766c77ce4f6,24038.03,934,2022,2023,1,48.73
0x4ec4e610454a04f6af2dc7e8a7e45a94cbdaf2f0,25941.75,2115,2022,2023,206,37.82
0xfb2b48abb2e2c1b7f70f18f4fdfb52e730ab8719,94419.98,4103,2022,2021,209,12.03
0x325366816fc6127f83618a9e6dc3a0847cea5cfa,54412.86,414,2019,2022,34,13.39
