address,balance,NumberOfTransaction,lastTransaction,firstTransaction,NFTCount,NativeBalance
0x822170479ab90209bd2fbeef6ac1cb0d700435e0,89410.95,1349,2021,2021,241,27.01
0x2368ed1d2ec36d73b5f4f57056d5669eabbfd5cb,80607.18,1353,2023,2021,470,48.33
0xf860117b1228eb4fe5a2a6f63cd3b6d0926bd312,80141.42,3015,2021,2022,40,41.99
0x3cff75a9a66070c1c6394e858cc6b028b117bb92,23229.89,3741,2024,2019,449,9.09
0xf37c6f6a178ef8116149482bef7eaa94a791909b,99998.73,3083,2021,2020,312,45.87
0x435ec7558606123be18f277309abe9d310b48145,61792.98,189,2022,2022,179,5.65
0x14f1f3d1a33cabf9f2104b0cccef550f080ebb27,26594.27,4747,2021,2020,108,1.52
0x33a162bece0ff8dd25e1cef5ef98f25a11de0ee4,59414.45,4740,2021,2019,176,26.63
0xfdb0a6ff3282da2417819034c1633dc72cc089d9,81159.18,3013,2022,2017,82,1.58
0x86f8ed469e849ed626825ee8f8a8b7eb822d4793,78579.86,4473,2021,2019,339,28.0
0x1b7f29561babcc292420b8bff4c78b436bb194da,40906.18,4114,2021,2020,121,42.56
0xfff0eb5472ec8bd7f9b7d9394b20704be00d64ee,89209.56,189,2019,2017,221,3.41
0xb9ee9227480d39c97e3bb7248548bb867c13f150,51642.6,4490,2021,2023,397,24.55
0x87d68ae585fb02506948da6ef5c61cd5353d2dc9,60556.43,3315,2024,2017,393,18.99
0x30251b34072b99eda614770ef69d31dc1e2eeb09,23185.91,3913,2022,2019,472,39.15
0x47bba9227356244c5c4776244c356243cf8ca6b4,59079.36,2689,2019,2023,470,42.96
0x9bcb986264ef02ccdfb15510055705bbed2c987b,13501.09,4699,2024,2022,434,6.73
0x1844fb6f2d0685ddff32d84225ac3c9c4202ae7d,48066.74,3122,2021,2017,374,14.21
0xfccddb5dca34b2f0389c0f2b5a3a9a495443059c,13069.89,4786,2021,2024,16,39.78
0xf17f0279efcef2f8828a86ea947c92523e560ab5,44481.17,12,2020,2022,482,20.68
0x8080800d8abda59c674fed69cdda544d7e1dba73,5014.66,2707,2020,2021,305,33.1
0x10b034c223a260a181e7eea6f33a1c00f1156670,38212.64,412,2020,2017,199,13.03
0x8860a00b78297401a003101f7c3d973555af6b94,30822.68,2140,2023,2019,348,32.76
0x6e0b183f7a827d6a03c1961620aff0f06cfbbf3b,84963.25,4876,2019,2023,5,31.21
0xc8b33d42c856b5884415ab255def651fe4f9edc9,2505.56,88,2023,2019,48,28.91
0xd698a57fd77c20aaf69282464263eb121b2b6a39,97257.86,2607,2022,2024,299,40.32
0xd05b342108daf44109ae802bf5eb25536c7ce8ae,96862.04,4449,2024,2020,258,28.67
0xe9559ed9b605f1d08db370a55b0d79c78ec3795e,35953.41,2324,2023,2024,169,14.63
0x3b83ad56f60c5a03e0c60e8352cb6052b08258c5,90397.48,4300,2020,2019,172,32.91
0x892c990629d89bc56f3de102b0d4f13ffdb4068d,88658.49,561,2022,2019,408,7.56
0x1d3561ab20c104fdb1238b61038d37ecced99905,92200.19,3267,2022,2021,296,16.14
0x0aaf799ce1470981c17674dbf1aa7fd3da7f4652,38350.35,4607,2021,2019,488,29.12
0xa271295a07feb82b11aa640966041f3337d86ef8,2788.14,1742,2022,2017,339,25.43
0xa028597ee0edc1514d7da120485499127ac17f83,43725.78,4585,2020,2023,467,32.23
0xd77a577eceea22b5b1c85278fe2d441cc637a59e,11941.19,4929,2024,2017,140,10.43
0x8754d0dbc131b9486ff06ee51d9be0455a251bfe,1784.66,4418,2021,2018,313,48.89
0x7f0026f7d9d5b9c8c0ebf1215b9d5386b95b6798,38378.95,1005,2024,2021,291,1.99
0x211b32d2a98a019d27723cbdf71a88b91f2d5415,58166.82,539,2024,2024,180,1.55
0x62ceec09a72fa34d660f9a643778003e958fb0e8,94344.55,3170,2022,2017,400,31.17
0x9ac43ca47ca1ffec64e8efebae9662b00dac7a23,29665.59,2100,2024,2020,311,37.71
0xe0e8c65980525d82c68345441da8e54942194507,75194.16,3726,2024,2019,191,24.4
0x99e70c07f0484248495310d615d0b0d09a8149d6,92117.05,106,2019,2024,244,10.52
0x7172c65a1c0bfdd776211265ebebd0708d9f10f7,54266.75,4366,2019,2017,206,28.01
0x9edc6568671c435c1a8613bbdf6aa060e8e2d071,87483.35,1357,2022,2022,107,36.77
0xbf2003f9f4b232f97a3225a7ed8b8954ed96d101,66322.02,1786,2021,2023,248,45.84
0x267e6917539e18aadcbe41d2544560d31c55f3cc,26070.96,4559,2022,2020,170,0.18
0xfa4fb1b485521a394d0c33b732a130e78c9eb001,94811.57,2431,2024,2019,106,47.81
0xaa0f70818a89570aaa0d5021d65b945bbf966765,17773.11,2176,2019,2023,201,4.42
0xd435bb6009185e8056b8ebd9ecfc0f98d7250d65,38739.27,4604,2024,2022,186,30.94
0x57d65a9ab906df1257ce8b391fda7b9eb817195d,33304.12,149,2022,2024,328,28.06
0x14ab91276423fd3ab83c6aaa8ac7ba3f29774900,40380.98,4182,2024,2021,67,49.46
0xf3a10a273ada0897981ceadb1cc6510074ca0c4e,50637.3,2681,2022,2022,459,30.73
0x9b56a8404b8713aafed30baca62eaedc4a6eb5ab,33850.37,1220,2020,2021,458,20.42
0x14dffdc2dc543b9f426b2fd01795fc87d32fe4a8,83427.85,2561,2021,2020,282,22.44
0x96b36162e642547eacab804ac974594ed9fef47e,21778.82,4690,2020,2017,412,18.77
0x5657d3269682b5c04902ecee9458099154406896,94546.13,1756,2023,2022,169,5.27
0x387daa74fb587accc9a140deae608d12e959852a,96110.99,1705,2024,2022,333,40.82
0x3d350be2b702fcd8fc7e456d170f254224cc24c6,86034.44,4922,2023,2019,136,9.81
0x3ffddced32fec0063c33b473c696c440fd9fd07a,46883.07,1296,2020,2022,485,25.77
0x3553c9eb4ae064da44c13e73607a8a3c1b962d39,16821.19,1007,2021,2019,184,4.87
0x7064cd9d9e347f2f34886e82dcad2bf8684a526c,23098.54,587,2019,2023,421,21.63
0x26a771212ddf325fa2934641ff344ae919c710ba,92555.94,1317,2022,2017,491,4.83
0x39404fc72f5fda1debc85ef02512d63e1126247b,30056.18,3451,2022,2022,205,10.2
0x474f0c103b5d39943814eae15595536d5deba883,56536.19,1731,2019,2018,489,18.64
0x7e1ce87b380eb674ca143e6f5ec71750138d40ee,60898.7,4026,2020,2021,9,7.25
0x046b1b6f270ae0f02ce78f5d4e9df3565d7e20b0,37450.92,1056,2021,2022,167,2.58
0xd181aa35d9a6b83691b9795b18b0cb825bceb399,25765.37,226,2023,2017,100,10.78
0x39c679578f210104e34d2869a61873e9ce20f887,11679.36,3180,2024,2023,475,39.54
0xee188631adb743fd184825591dc9b72564a24c74,1585.07,3245,2021,2024,484,3.84
0x4bb64d0e67756b249c6cada9ed664981c5782bcf,58591.47,4644,2024,2022,202,47.04
0x6958e0f310e8b49019e17113a90a84adb5ba3186,38408.93,360,2023,2017,253,38.99
0x11fb9a98e4963de8d918015ec6edd95e5f4b0ddd,38915.83,2546,2024,2024,468,13.37
0x7287523f387fa3341e3cac500f4946c9d05384a4,57075.19,3937,2020,2017,123,32.18
0x591b99034664bbf6c5cfac0947f4fb94e42cd5bd,71402.38,2493,2023,2021,488,3.18
0xa85c4c28a4ee74bc5e376beb2e553cd77d38948a,99985.17,339,2024,2018,271,27.35
0xdcbc2fe04dec4f4b225d77357f5fe1c1d73da16c,68212.12,4454,2020,2023,117,32.66
0xed86af1fae16038f3c0e271da4164cd900bd5ba2,35160.27,2529,2022,2017,83,12.6
0x6418dc4c6181ecf0a3dbf90af858af5df16fc529,37847.27,846,2021,2020,180,47.52
0x5c9aca3334c4a5153c2e8ba62d04ee51dab9b485,66463.42,4202,2021,2024,392,2.07
0x0d55fb894067b42bd1ea2da6b3e794cecc6c6035,25636.3,4693,2022,2022,35,18.69
0x64540a3d6751f9b4c0c41839a6bebf30bcdc3b68,8242.15,499,2019,2017,320,18.81
0x35d78df8e2d234d2dd46054dad08bb15b8cab388,93021.91,3101,2022,2022,221,41.38
0x12d3d6f603468ce6ff74949e3f29e6b6ffb3e25e,19076.22,1026,2019,2019,361,25.1
0x3535b129dbb5ec4da7b6ab8c37052adf0f262f4a,29357.65,4112,2021,2024,442,22.99
0x9ae07e3169c614f5ea149a746d924be2873a6bc0,66224.7,2172,2024,2023,167,43.52
0x665258a5c877e26b6cfeec0d17dadbcef8649b6c,41116.65,153,2024,2022,462,45.45
0x990ed7023bc731dd94f3cde5da4a982c51d88745,82775.36,4243,2024,2019,106,35.67
0x07f0359ea723da13349d7a59c9f5feb138979924,63014.52,1820,2019,2020,469,21.58
0x6e87fb7db2e8496df5f355641c6abea7a7c6274a,51053.62,1948,2019,2018,453,2.89
0x14d07b9eb7a837a3e30954f0cc428e7f9021e9be,49731.78,3635,2023,2017,0,12.11
0xa1f9a8c28616a74e690718cea86062d709f23d7e,47516.02,447,2020,2024,226,7.16
0xd12a5c96e081519663a711ed54a8c4b2965fde12,89106.78,291,2023,2017,339,7.83
0x4ba64f486500bb57def1203f7177e355f3b212ca,85040.24,2769,2019,2022,217,31.85
0xa76e288fde04cd8848f9f2848e9ecadd6404abce,83624.43,4357,2019,2018,411,41.54
0x81702d92c0e31cd54db7f8f177e9503e945fdebc,895.38,1001,2021,2020,383,31.39
0x56409bda349c5b4b86dee63ed2ad0a59f167edd5,22581.28,2268,2021,2017,449,2.81
0x9f44b2a557243c6393f42545159f16a514787a73,62772.56,4916,2023,2024,348,35.52
0x4f5fee24f697d8d8c5d2ba9c8ce8746744374088,50952.66,3569,2020,2023,478,14.38
0xdeddbc40b230fcc93f9c012e7d57b5214095173d,21171.42,3699,2024,2019,102,48.2
0x41fe4bdb8addacaa69c1079032459a3240c4c1b9,10816.85,3358,2023,2023,115,12.65
0x32c4a3159a312e2ec16de93de2478781e138de4a,25498.74,3647,2020,2020,86,21.85
0xd0acf4dd6301ed5ab40dbd3543cfb65c77f21907,64804.1,2162,2022,2023,255,17.83
0x1a5a1212c924950bc68d11212df731d8a0935f84,80956.6,1584,2021,2023,292,32.19
0x52c502891661b73c15ca3abc8f62fd7b37c625af,14918.69,3536,2019,2018,407,29.82
0x2cb3a3dc55f554065b367714f1af8869263d5139,24163.69,4714,2019,2019,255,36.23
0x84156df13eda120d6789d39a5d55cea2184ec309,68329.67,2143,2024,2021,393,36.51
0xbf49b135d86329de5a10e07d1ca172c428026554,92293.52,1234,2021,2024,50,29.01
